"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa00220","Arginine biosynthesis",1,2,"GLUD1","Tcm-naive_II/Treg"
"hsa00290","Valine, leucine and isoleucine biosynthesis",1,1,"BCAT2","MoMac-II"
"hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",1,1,"HK1","MoMac-II"
"hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,"IL4I1","MoMac-II"
"hsa00440","Phosphonate and phosphinate metabolism",1,1,"CHPT1","MoMac-II"
"hsa00750","Vitamin B6 metabolism",1,1,"PNPO","Treg"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,1,"FUT8","DC3"
"hsa00360","Phenylalanine metabolism",1,1,"IL4I1","MoMac-II"
"hsa00120","Primary bile acid biosynthesis",1,1,"CH25H","CD16 mono"
"hsa00450","Selenocompound metabolism",1,1,"CTH","B"
"hsa00511","Other glycan degradation",1,1,"AGA","MoMac-II"
"hsa00100","Steroid biosynthesis",1,1,"LSS","MoMac-II"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",1,1,"CHST12","T_activated"
"hsa00770","Pantothenate and CoA biosynthesis",1,1,"BCAT2","MoMac-II"
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,"EXTL3","CD16 mono"
"hsa00790","Folate biosynthesis",1,1,"QDPR","T_activated"
"hsa00410","beta-Alanine metabolism",1,1,"ACOX1","MoMac-II"
"hsa00640","Propanoate metabolism",1,1,"ACOX1","MoMac-II"
"hsa00670","One carbon pool by folate",1,1,"CTH","B"
"hsa00260","Glycine, serine and threonine metabolism",1,1,"CTH","B"
"hsa00380","Tryptophan metabolism",1,1,"IL4I1","MoMac-II"
"hsa00860","Porphyrin metabolism",1,1,"ALAD","MoMac-II"
"hsa00565","Ether lipid metabolism",1,1,"CHPT1","MoMac-II"
"hsa00590","Arachidonic acid metabolism",1,1,"EPHX2","Tcm-naive_II"
