"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa01240","Biosynthesis of cofactors",13,6,"AK6/NME1/GUSB/BCAT1/NAPRT/CAD/PPCDC/AFMID/TPK1/SPR/NME4/ADSL/AK4","CD14 mono/DC3/IgG/MoMac-II/T_activated/Treg"
"hsa04932","Non-alcoholic fatty liver disease",13,5,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/NDUFB5/SDHB/COX5A/NDUFB6/SDHD/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/T_activated/T_GZMK"
"hsa05012","Parkinson disease",13,5,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/NDUFB5/SDHB/COX5A/NDUFB6/SDHD/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/T_activated/T_GZMK"
"hsa05020","Prion disease",13,5,"UQCRC2/NDUFA9/NDUFA10/UQCR10/UQCRFS1/NDUFS2/NDUFB5/SDHB/COX5A/NDUFB6/SDHD/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/T_activated/T_GZMK"
"hsa00510","N-Glycan biosynthesis",10,5,"B4GALT3/ALG3/MAN1A2/ALG5/STT3B/RPN2/ALG13/MGAT4C/FUT8/ALG8","CD14 mono/IgG/T_activated/T_Nklike/Treg"
"hsa00010","Glycolysis / Gluconeogenesis",9,7,"PGAM1/ADPGK/GALM/HK2/GAPDH/PKM/ACSS1/PFKL/PDHB","CD14 mono/CD16 mono/DC3/IgG/MoMac-II/T_activated/Tcycle"
"hsa00020","Citrate cycle (TCA cycle)",8,6,"ACLY/ACO2/CS/SDHB/IDH3B/IDH3G/PDHB/SDHD","AM/CD14 mono/CD16 mono/IgG/T_activated/T_GZMK"
"hsa00983","Drug metabolism - other enzymes",8,6,"DUT/NME1/GUSB/GMPS/NME4/UCK2/MGST1/CDA","CD14 mono/DC3/IgG/MoMac-II/T_activated/T_GZMK"
"hsa00240","Pyrimidine metabolism",8,5,"DUT/NME1/CAD/NME4/ENTPD1/UCK2/DCK/CDA","CD14 mono/IgG/MoMac-II/T_activated/T_GZMK"
"hsa00513","Various types of N-glycan biosynthesis",8,3,"B4GALT3/ALG3/MAN1A2/STT3B/RPN2/ALG13/MGAT4C/FUT8","IgG/T_activated/Treg"
"hsa00564","Glycerophospholipid metabolism",7,6,"PLD3/AGPAT5/LYPLA2/ETNK1/DGKZ/LPIN1/CDIPT","AM/DC3/IgG/MoMac-II/T_activated/Treg"
"hsa04723","Retrograde endocannabinoid signaling",7,4,"NDUFA9/NDUFA10/NDUFS2/NDUFB5/NDUFB6/NDUFB9/NDUFV3","CD14 mono/IgG/IgM/T_activated"
"hsa00030","Pentose phosphate pathway",7,3,"RPIA/TKT/PGD/PRPS1/TALDO1/PRPS2/PFKL","IgG/T_activated/T_GZMK"
"hsa00561","Glycerolipid metabolism",6,7,"AGPAT5/PNPLA2/TKFC/DGKZ/LPIN1/GK","AM/DC3/IgG/T_activated/Tcm-naive_II/Tcycle/Treg"
"hsa01210","2-Oxocarboxylic acid metabolism",6,5,"BCAT1/ACO2/CS/IDH3B/IDH3G/PDHB","AM/CD14 mono/CD16 mono/IgG/T_activated"
"hsa01212","Fatty acid metabolism",6,5,"ACAA1/ACSF3/CBR4/ACSL5/ACADS/ACADVL","CD14 mono/DC3/IgG/MoMac-II/T_activated"
"hsa04070","Phosphatidylinositol signaling system",6,4,"INPP5D/SACM1L/PIK3C3/DGKZ/CDIPT/PIP5K1C","DC3/IgG/MoMac-II/T_activated"
"hsa04922","Glucagon signaling pathway",6,4,"PGAM1/PKM/PDE3B/PFKL/PDHB/SIRT1","DC3/IgG/MoMac-III/T_activated"
"hsa04142","Lysosome",6,4,"GUSB/ATP6V1H/ARSA/NAGLU/ATP6V0D1/PSAP","DC3/MoMac-II/T_activated/T_GZMK"
"hsa00280","Valine, leucine and isoleucine degradation",6,3,"ACAA1/BCAT1/ALDH6A1/ACSF3/HMGCS1/ACADS","CD14 mono/MoMac-II/T_activated"
"hsa00562","Inositol phosphate metabolism",6,3,"INPP5D/ALDH6A1/SACM1L/PIK3C3/CDIPT/PIP5K1C","DC3/IgG/MoMac-II"
"hsa00310","Lysine degradation",5,6,"KMT2E/NSD1/KMT5A/GCDH/EHMT1","DC3/IgA/IgG/MoMac-II/T_activated/Treg"
"hsa00330","Arginine and proline metabolism",5,5,"P4HA1/SMS/CNDP2/SRM/ODC1","AM/CD14 mono/IgG/T_activated/T_GZMK"
"hsa00600","Sphingolipid metabolism",5,5,"SMPD4/B4GALT5/ARSA/KDSR/PSAP","CD14 mono/CD8 Trm/IM/T_activated/T_GZMK"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",5,4,"CHST12/CHST15/CHPF/CSGALNACT2/B3GAT3","CD14 mono/DC3/IgG/T_activated"
"hsa00052","Galactose metabolism",5,4,"GALM/HK2/GALT/GALE/PFKL","CD16 mono/MoMac-II/T_activated/Tcycle"
"hsa00051","Fructose and mannose metabolism",5,4,"HK2/GMDS/TKFC/FPGT/PFKL","CD16 mono/IgG/MoMac-II/T_activated"
"hsa00760","Nicotinate and nicotinamide metabolism",5,4,"NAPRT/SIRT2/NMRK1/NAMPT/SIRT1","CD14 mono/DC3/MoMac-III/T_activated"
"hsa00071","Fatty acid degradation",5,4,"ACAA1/ACSL5/GCDH/ACADS/ACADVL","CD14 mono/MoMac-II/T_activated/Treg"
"hsa00270","Cysteine and methionine metabolism",5,4,"BCAT1/DNMT1/SMS/SRM/ENOPH1","CD14 mono/DC3/IgG/T_activated"
"hsa00480","Glutathione metabolism",5,4,"PGD/SMS/SRM/ODC1/MGST1","AM/CD14 mono/IgG/T_GZMK"
"hsa05230","Central carbon metabolism in cancer",5,4,"PGAM1/HK2/PKM/PFKL/PDHB","CD16 mono/DC3/IgG/T_activated"
"hsa04145","Phagosome",5,3,"ATP6V1H/PIK3C3/ATP6V1D/ATP6V1F/ATP6V0D1","IgG/MoMac-II/T_activated"
"hsa05165","Human papillomavirus infection",5,3,"PKM/ATP6V1H/ATP6V1D/ATP6V1F/ATP6V0D1","IgG/MoMac-II/T_activated"
"hsa01250","Biosynthesis of nucleotide sugars",5,2,"HK2/GALT/GMDS/GALE/FPGT","CD16 mono/MoMac-II"
"hsa04936","Alcoholic liver disease",4,5,"MLYCD/LPIN1/ACADVL/SIRT1","CD14 mono/DC3/MoMac-II/MoMac-III/T_activated"
"hsa00630","Glyoxylate and dicarboxylate metabolism",4,4,"ACO2/ACSS1/AFMID/CS","AM/CD16 mono/MoMac-II/Treg"
"hsa00590","Arachidonic acid metabolism",4,4,"AKR1C3/PTGES3/ALOX5/LTC4S","DC3/IgG/MoMac-II/Tcm-naive_I"
"hsa03320","PPAR signaling pathway",4,4,"ACAA1/HMGCS1/ACSL5/GK","CD14 mono/MoMac-II/T_activated/Tcm-naive_II"
"hsa04066","HIF-1 signaling pathway",4,4,"HK2/GAPDH/PFKL/PDHB","CD16 mono/DC3/IgG/T_activated"
"hsa04148","Efferocytosis",4,4,"UQCRFS1/ALOX5/ODC1/SIRT1","AM/IgG/MoMac-II/MoMac-III"
"hsa04150","mTOR signaling pathway",4,4,"ATP6V1H/LPIN1/ATP6V1D/ATP6V1F","DC3/IgG/MoMac-II/T_activated"
"hsa04966","Collecting duct acid secretion",4,3,"CA2/ATP6V1D/ATP6V1F/ATP6V0D1","IgG/MoMac-II/T_activated"
"hsa00250","Alanine, aspartate and glutamate metabolism",4,3,"CAD/GLUD1/ADSL/PPAT","DC3/IgG/Treg"
"hsa00620","Pyruvate metabolism",4,3,"HAGH/PKM/ACSS1/PDHB","AM/IgG/MoMac-II"
"hsa05110","Vibrio cholerae infection",4,3,"ATP6V1H/ATP6V1D/ATP6V1F/ATP6V0D1","IgG/MoMac-II/T_activated"
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",4,3,"ATP6V1H/ATP6V1D/ATP6V1F/ATP6V0D1","IgG/MoMac-II/T_activated"
"hsa04721","Synaptic vesicle cycle",4,3,"ATP6V1H/ATP6V1D/ATP6V1F/ATP6V0D1","IgG/MoMac-II/T_activated"
"hsa04260","Cardiac muscle contraction",4,3,"UQCRC2/UQCR10/UQCRFS1/COX5A","CD14 mono/IgG/T_activated"
"hsa05323","Rheumatoid arthritis",4,3,"ATP6V1H/ATP6V1D/ATP6V1F/ATP6V0D1","IgG/MoMac-II/T_activated"
"hsa00410","beta-Alanine metabolism",4,2,"ALDH6A1/MLYCD/CNDP2/ACADS","MoMac-II/T_activated"
"hsa00640","Propanoate metabolism",4,2,"ACSS1/ALDH6A1/MLYCD/ACADS","MoMac-II/T_activated"
"hsa00520","Amino sugar and nucleotide sugar metabolism",4,2,"HK2/GALT/GALE/FPGT","CD16 mono/MoMac-II"
"hsa00061","Fatty acid biosynthesis",3,4,"ACSF3/CBR4/ACSL5","DC3/IgG/MoMac-II/T_activated"
"hsa04072","Phospholipase D signaling pathway",3,4,"AGPAT5/DGKZ/PIP5K1C","AM/DC3/T_activated/Treg"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",3,3,"B4GALT3/FUT8/CHST6","IgG/T_activated/Treg"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",3,3,"B4GALT3/B3GNT4/ST3GAL6","CD16 mono/IgG/Treg"
"hsa00512","Mucin type O-glycan biosynthesis",3,3,"GALNT2/B4GALT5/ST6GALNAC4","CD8 Trm/IgG/T_activated"
"hsa04146","Peroxisome",3,3,"ACAA1/MLYCD/ACSL5","CD14 mono/MoMac-II/T_activated"
"hsa04152","AMPK signaling pathway",3,3,"MLYCD/PFKL/SIRT1","MoMac-II/MoMac-III/T_activated"
"hsa00730","Thiamine metabolism",3,2,"ACP1/TPK1/AK4","IgG/MoMac-II"
"hsa05152","Tuberculosis",3,2,"ATP6V1H/PIK3C3/ATP6V0D1","MoMac-II/T_activated"
"hsa04141","Protein processing in endoplasmic reticulum",3,1,"MAN1A2/STT3B/RPN2","T_activated"
"hsa00531","Glycosaminoglycan degradation",2,3,"GUSB/NAGLU","DC3/MoMac-II/T_activated"
"hsa05206","MicroRNAs in cancer",2,3,"DNMT1/SIRT1","DC3/IgG/MoMac-III"
"hsa00910","Nitrogen metabolism",2,2,"GLUD1/CA2","MoMac-II/Treg"
"hsa00541","Biosynthesis of various nucleotide sugars",2,2,"CYB5R4/GMDS","MoMac-II/T_activated"
"hsa00770","Pantothenate and CoA biosynthesis",2,2,"BCAT1/PPCDC","CD14 mono/IgG"
"hsa00220","Arginine biosynthesis",2,2,"CAD/GLUD1","IgG/Treg"
"hsa00515","Mannose type O-glycan biosynthesis",2,2,"B4GALT3/B3GAT2","IgG/MoMac-II"
"hsa00900","Terpenoid backbone biosynthesis",2,2,"HMGCS1/FNTA","CD14 mono/MoMac-II"
"hsa04964","Proximal tubule bicarbonate reclamation",2,2,"GLUD1/CA2","MoMac-II/Treg"
"hsa00790","Folate biosynthesis",2,2,"AKR1C3/SPR","MoMac-II/Tcm-naive_I"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",2,2,"PIGT/PIGX","T_activated/Treg"
"hsa00350","Tyrosine metabolism",2,2,"GSTZ1/MIF","CD16 mono/IgG"
"hsa00670","One carbon pool by folate",2,2,"SARDH/ATIC","DC3/T_activated"
"hsa00260","Glycine, serine and threonine metabolism",2,2,"SARDH/PGAM1","DC3/T_activated"
"hsa04216","Ferroptosis",2,2,"FTH1/ACSL5","DC3/MoMac-II"
"hsa00860","Porphyrin metabolism",2,2,"GUSB/FTH1","DC3/T_activated"
"hsa00514","Other types of O-glycan biosynthesis",2,2,"B4GALT3/GALNT2","IgG/T_activated"
"hsa04930","Type II diabetes mellitus",2,2,"HK2/PKM","CD16 mono/IgG"
"hsa04913","Ovarian steroidogenesis",2,2,"AKR1C3/ALOX5","MoMac-II/Tcm-naive_I"
"hsa04923","Regulation of lipolysis in adipocytes",2,2,"PNPLA2/PDE3B","T_activated/Tcycle"
"hsa00140","Steroid hormone biosynthesis",2,2,"AKR1C3/AKR1D1","Tcm-naive_I/Treg"
"hsa04664","Fc epsilon RI signaling pathway",2,2,"INPP5D/ALOX5","IgG/MoMac-II"
"hsa03018","RNA degradation",2,2,"NUDT16/PFKL","DC3/T_activated"
"hsa04211","Longevity regulating pathway",2,2,"EHMT1/SIRT1","IgA/MoMac-III"
"hsa04666","Fc gamma R-mediated phagocytosis",2,2,"INPP5D/PIP5K1C","DC3/IgG"
"hsa05231","Choline metabolism in cancer",2,2,"DGKZ/PIP5K1C","DC3/T_activated"
"hsa04910","Insulin signaling pathway",2,2,"HK2/PDE3B","CD16 mono/T_activated"
"hsa04371","Apelin signaling pathway",2,2,"PDE3B/PIK3C3","MoMac-II/T_activated"
"hsa04217","Necroptosis",2,2,"FTH1/GLUD1","DC3/Treg"
"hsa05203","Viral carcinogenesis",2,2,"PKM/ATP6V0D1","IgG/T_activated"
"hsa05207","Chemical carcinogenesis - receptor activation",2,2,"PTGES3/MGST1","CD14 mono/DC3"
"hsa05131","Shigellosis",2,2,"HK2/PIK3C3","CD16 mono/MoMac-II"
"hsa05132","Salmonella infection",2,2,"GAPDH/PIK3C3","DC3/MoMac-II"
"hsa00650","Butanoate metabolism",2,1,"HMGCS1/ACADS","MoMac-II"
"hsa00380","Tryptophan metabolism",2,1,"AFMID/GCDH","Treg"
"hsa00592","alpha-Linolenic acid metabolism",1,2,"ACAA1","CD14 mono/T_activated"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,2,"ACAA1","CD14 mono/T_activated"
"hsa00053","Ascorbate and aldarate metabolism",1,2,"GUSB","DC3/T_activated"
"hsa00040","Pentose and glucuronate interconversions",1,2,"GUSB","DC3/T_activated"
"hsa00290","Valine, leucine and isoleucine biosynthesis",1,1,"BCAT1","CD14 mono"
"hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",1,1,"HK2","CD16 mono"
"hsa00740","Riboflavin metabolism",1,1,"ACP1","IgG"
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",1,1,"ST6GALNAC4","IgG"
"hsa00360","Phenylalanine metabolism",1,1,"MIF","IgG"
"hsa00120","Primary bile acid biosynthesis",1,1,"AKR1D1","Treg"
"hsa00100","Steroid biosynthesis",1,1,"EBP","IgG"
"hsa00785","Lipoic acid metabolism",1,1,"PDHB","IgG"
"hsa00340","Histidine metabolism",1,1,"CNDP2","T_activated"
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,1,"B3GAT3","IgG"
"hsa01523","Antifolate resistance",1,1,"ATIC","DC3"
"hsa04136","Autophagy - other",1,1,"PIK3C3","MoMac-II"
"hsa00500","Starch and sucrose metabolism",1,1,"HK2","CD16 mono"
"hsa00565","Ether lipid metabolism",1,1,"PLD3","IgG"
"hsa04973","Carbohydrate digestion and absorption",1,1,"HK2","CD16 mono"
"hsa04978","Mineral absorption",1,1,"FTH1","DC3"
"hsa04213","Longevity regulating pathway - multiple species",1,1,"SIRT1","MoMac-III"
"hsa00830","Retinol metabolism",1,1,"DHRS4L2","IgG"
"hsa04924","Renin secretion",1,1,"PDE3B","T_activated"
"hsa05031","Amphetamine addiction",1,1,"SIRT1","MoMac-III"
"hsa04920","Adipocytokine signaling pathway",1,1,"ACSL5","MoMac-II"
"hsa04917","Prolactin signaling pathway",1,1,"GALT","MoMac-II"
"hsa05204","Chemical carcinogenesis - DNA adducts",1,1,"MGST1","CD14 mono"
"hsa04622","RIG-I-like receptor signaling pathway",1,1,"TKFC","IgG"
"hsa00982","Drug metabolism - cytochrome P450",1,1,"MGST1","CD14 mono"
"hsa01524","Platinum drug resistance",1,1,"MGST1","CD14 mono"
"hsa04971","Gastric acid secretion",1,1,"CA2","MoMac-II"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",1,1,"MGST1","CD14 mono"
"hsa04976","Bile secretion",1,1,"CA2","MoMac-II"
"hsa04662","B cell receptor signaling pathway",1,1,"INPP5D","IgG"
"hsa05032","Morphine addiction",1,1,"PDE3B","T_activated"
"hsa04520","Adherens junction",1,1,"ACP1","IgG"
"hsa04972","Pancreatic secretion",1,1,"CA2","MoMac-II"
"hsa04914","Progesterone-mediated oocyte maturation",1,1,"PDE3B","T_activated"
"hsa05145","Toxoplasmosis",1,1,"ALOX5","MoMac-II"
"hsa04726","Serotonergic synapse",1,1,"ALOX5","MoMac-II"
"hsa04919","Thyroid hormone signaling pathway",1,1,"PFKL","T_activated"
"hsa04068","FoxO signaling pathway",1,1,"SIRT1","MoMac-III"
"hsa05135","Yersinia infection",1,1,"PIP5K1C","DC3"
"hsa05418","Fluid shear stress and atherosclerosis",1,1,"MGST1","CD14 mono"
"hsa05017","Spinocerebellar ataxia",1,1,"PIK3C3","MoMac-II"
"hsa04218","Cellular senescence",1,1,"SIRT1","MoMac-III"
"hsa04022","cGMP-PKG signaling pathway",1,1,"PDE3B","T_activated"
"hsa04140","Autophagy - animal",1,1,"PIK3C3","MoMac-II"
"hsa05225","Hepatocellular carcinoma",1,1,"MGST1","CD14 mono"
"hsa04310","Wnt signaling pathway",1,1,"SIRT1","MoMac-III"
"hsa04621","NOD-like receptor signaling pathway",1,1,"NAMPT","DC3"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",1,1,"PIK3C3","MoMac-II"
"hsa05202","Transcriptional misregulation in cancer",1,1,"FUT8","T_activated"
"hsa04510","Focal adhesion",1,1,"PIP5K1C","DC3"
"hsa05130","Pathogenic Escherichia coli infection",1,1,"GAPDH","DC3"
"hsa05169","Epstein-Barr virus infection",1,1,"ENTPD1","MoMac-II"
"hsa04024","cAMP signaling pathway",1,1,"PDE3B","T_activated"
"hsa04810","Regulation of actin cytoskeleton",1,1,"PIP5K1C","DC3"
"hsa04144","Endocytosis",1,1,"PIP5K1C","DC3"
"hsa03008","Ribosome biogenesis in eukaryotes",1,1,"AK6","T_activated"
