"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa01200","Carbon metabolism",19,7,"RPE/HK2/GPI/IDH3B/GCSH/IDH2/RPIA/GAPDH/ACOX1/GLUD1/GLYCTK/PGLS/PDHB/SDHA/PC/ENO1/HK1/ALDH6A1/IDH3G","CD14 mono/CD16 mono/DC3/MoMac-II/T_activated/Tcm-naive_II/Treg"
"hsa01240","Biosynthesis of cofactors",17,2,"NME4/BCAT2/RFK/NADK/BCAT1/GMPPA/MAT2B/MTHFD2L/DHRS3/COQ4/COQ7/ALAD/VKORC1/VKORC1L1/NADSYN1/PNPO/PMM1","MoMac-II/Treg"
"hsa00230","Purine metabolism",16,6,"NME4/PDE1B/NUDT9/IMPDH2/PDE3B/PDE4A/NUDT2/HDDC3/PDE7A/ADA/DCK/ADPRM/NUDT16/PDE4D/NT5C/GMPS","CD14 mono/DC3/IM/MoMac-II/T_activated/Treg"
"hsa01230","Biosynthesis of amino acids",14,5,"RPE/BCAT2/BCAT1/IDH3B/IDH2/MAT2B/RPIA/GLUL/GAPDH/PC/ENO1/CTH/PYCR2/IDH3G","B/DC3/IgG/MoMac-II/T_activated"
"hsa00564","Glycerophospholipid metabolism",13,4,"DGKZ/CHKA/LPIN2/LPCAT3/PLA2G15/PEMT/LYPLA2/PLA2G12A/LPIN1/PLPP5/ADPRM/CHPT1/PLD1","IgG/MoMac-II/MoMac-IV/T_activated"
"hsa04142","Lysosome",12,5,"GNS/FUCA1/ACP2/GM2A/ATP6V0B/PLA2G15/IDS/AGA/PSAP/NAGA/GALC/GALNS","B/CD16 mono/IgG/MoMac-II/MoMac-IV"
"hsa04723","Retrograde endocannabinoid signaling",12,4,"NDUFA12/NDUFA1/NDUFA3/NDUFB7/NDUFS5/NDUFS2/NDUFA13/NDUFB10/NDUFB3/NDUFA4/NDUFS7/NDUFB1","IgG/IgM/MoMac-II/T_activated"
"hsa01040","Biosynthesis of unsaturated fatty acids",10,6,"SCD/ELOVL5/ACAA1/TECR/ELOVL1/SCP2/ACOX1/HSD17B12/ACOT7/FADS1","CD16 mono/CD4 Trm/IgG/MoMac-II/T_activated/Tcm-naive_II"
"hsa00600","Sphingolipid metabolism",10,5,"B4GALT5/GM2A/NEU4/CERS5/PSAP/CERS6/SGPL1/GALC/SPTLC1/SGPP1","B/DC3/IgG/MoMac-II/MoMac-IV"
"hsa00510","N-Glycan biosynthesis",10,5,"DPM2/MGAT4A/ALG14/FUT8/DPM3/MGAT2/MGAT5/STT3B/MOGS/ALG2","DC3/MoMac-II/MoMac-IV/T_activated/Treg"
"hsa01212","Fatty acid metabolism",10,4,"SCD/ELOVL5/ACAA1/TECR/ELOVL1/SCP2/ACOX1/HSD17B12/HADHA/FADS1","CD16 mono/IgG/MoMac-II/T_activated"
"hsa00010","Glycolysis / Gluconeogenesis",10,3,"LDHA/HK2/GPI/PCK2/GAPDH/G6PC3/PDHB/GALM/ENO1/HK1","DC3/MoMac-II/MoMac-IV"
"hsa04260","Cardiac muscle contraction",10,2,"UQCRC2/COX7A2/COX6B1/UQCRQ/UQCR11/UQCRH/COX7B/UQCR10/COX7C/COX7A2L","MoMac-II/T_activated"
"hsa01232","Nucleotide metabolism",9,4,"NME4/DCTPP1/IMPDH2/ADA/NT5C3B/DCK/NUDT16/NT5C/GMPS","DC3/MoMac-II/T_activated/Treg"
"hsa01250","Biosynthesis of nucleotide sugars",9,2,"HK2/GPI/GMPPA/GMDS/FPGT/NANS/GALE/HK1/PMM1","MoMac-II/MoMac-IV"
"hsa00270","Cysteine and methionine metabolism",9,2,"LDHA/BCAT2/BCAT1/MAT2B/TST/DNMT3A/SRM/CTH/IL4I1","B/MoMac-II"
"hsa00562","Inositol phosphate metabolism",8,8,"INPP5D/MTMR6/PI4KA/INPPL1/PIK3CG/SACM1L/ITPKB/ALDH6A1","CD14 mono/CD16 mono/CD8 Trm/DC3/IgG/MoMac-II/T_activated/Treg"
"hsa00051","Fructose and mannose metabolism",8,3,"HK2/GMPPA/GMDS/FPGT/SORD/HK1/PMM1/ENOSF1","MoMac-II/MoMac-III/MoMac-IV"
"hsa00280","Valine, leucine and isoleucine degradation",8,2,"BCAT2/ACAA1/BCAT1/HADHA/HMGCS1/IL4I1/MCCC2/ALDH6A1","MoMac-II/T_activated"
"hsa04070","Phosphatidylinositol signaling system",7,7,"INPP5D/DGKZ/MTMR6/PI4KA/INPPL1/SACM1L/ITPKB","CD14 mono/CD16 mono/CD8 Trm/DC3/MoMac-II/T_activated/Treg"
"hsa04910","Insulin signaling pathway",7,5,"HK2/PCK2/PYGL/PDE3B/G6PC3/INPPL1/HK1","CD8 Trm/DC3/MoMac-II/T_activated/Treg"
"hsa03320","PPAR signaling pathway",7,3,"SCD/PCK2/ACAA1/SCP2/ACOX1/GK/HMGCS1","CD16 mono/MoMac-II/T_activated"
"hsa00020","Citrate cycle (TCA cycle)",7,2,"PCK2/IDH3B/IDH2/PDHB/SDHA/PC/IDH3G","MoMac-II/T_activated"
"hsa00030","Pentose phosphate pathway",7,2,"RPE/GPI/RPIA/DERA/GLYCTK/PGLS/RBKS","CD14 mono/MoMac-II"
"hsa00520","Amino sugar and nucleotide sugar metabolism",7,2,"HK2/GPI/GMPPA/FPGT/GALE/HK1/PMM1","MoMac-II/MoMac-IV"
"hsa00500","Starch and sucrose metabolism",7,2,"HK2/GPI/PYGL/G6PC3/GBE1/HK1/GYG1","CD16 mono/MoMac-II"
"hsa00062","Fatty acid elongation",6,4,"ELOVL5/TECR/ELOVL1/HSD17B12/ACOT7/HADHA","CD4 Trm/IgG/MoMac-II/Tcm-naive_II"
"hsa00513","Various types of N-glycan biosynthesis",6,4,"MGAT4A/ALG14/FUT8/MGAT2/STT3B/ALG2","DC3/MoMac-II/MoMac-IV/T_activated"
"hsa00561","Glycerolipid metabolism",6,4,"DGKZ/LPIN2/GK/GLYCTK/LPIN1/PLPP5","CD14 mono/MoMac-II/MoMac-IV/T_activated"
"hsa04071","Sphingolipid signaling pathway",6,4,"CERS5/CERS6/SGPL1/SPTLC1/SGPP1/PLD1","DC3/IgG/MoMac-II/MoMac-IV"
"hsa00480","Glutathione metabolism",6,3,"ANPEP/IDH2/GPX1/MGST1/GSTM4/SRM","MoMac-II/MoMac-IV/T_activated"
"hsa01210","2-Oxocarboxylic acid metabolism",6,2,"BCAT2/BCAT1/IDH3B/IDH2/PDHB/IDH3G","MoMac-II/T_activated"
"hsa00240","Pyrimidine metabolism",6,2,"NME4/DCTPP1/NUDT2/NT5C3B/DCK/NT5C","MoMac-II/T_activated"
"hsa04922","Glucagon signaling pathway",6,2,"LDHA/PCK2/PYGL/PDE3B/G6PC3/PDHB","MoMac-II/T_activated"
"hsa04066","HIF-1 signaling pathway",6,2,"LDHA/HK2/GAPDH/PDHB/ENO1/HK1","DC3/MoMac-II"
"hsa00620","Pyruvate metabolism",6,1,"LDHA/PCK2/HAGH/PDHB/PC/ACYP1","MoMac-II"
"hsa04146","Peroxisome",5,4,"ACAA1/IDH2/SCP2/ACOX1/EPHX2","CD16 mono/MoMac-II/T_activated/Tcm-naive_II"
"hsa05032","Morphine addiction",5,4,"PDE1B/PDE3B/PDE4A/PDE7A/PDE4D","CD14 mono/IM/MoMac-II/T_activated"
"hsa04024","cAMP signaling pathway",5,4,"ACOX1/PDE3B/PDE4A/PDE4D/PLD1","CD14 mono/CD16 mono/MoMac-II/T_activated"
"hsa00983","Drug metabolism - other enzymes",5,3,"NME4/MGST1/GSTM4/IMPDH2/GMPS","MoMac-II/MoMac-IV/Treg"
"hsa00541","Biosynthesis of various nucleotide sugars",5,2,"GMPPA/GMDS/NPL/NANS/CYB5R3","DC3/MoMac-II"
"hsa00052","Galactose metabolism",5,2,"HK2/G6PC3/GALM/GALE/HK1","MoMac-II/MoMac-IV"
"hsa00565","Ether lipid metabolism",5,2,"PAFAH1B1/PLA2G12A/PAFAH1B2/CHPT1/PLD1","IgG/MoMac-II"
"hsa05230","Central carbon metabolism in cancer",5,2,"LDHA/HK2/IDH2/PDHB/HK1","MoMac-II/T_activated"
"hsa04936","Alcoholic liver disease",4,4,"SCD/LPIN2/ACOX1/LPIN1","CD16 mono/MoMac-II/MoMac-IV/T_activated"
"hsa00512","Mucin type O-glycan biosynthesis",4,3,"GALNT2/GALNT1/B4GALT5/ST3GAL1","MoMac-II/T_activated/Treg"
"hsa00310","Lysine degradation",4,3,"KMT2E/TMLHE/HADHA/DOT1L","DC3/MoMac-II/NK"
"hsa00590","Arachidonic acid metabolism",4,3,"ALOX5/CBR1/PLA2G12A/EPHX2","IgG/MoMac-II/Tcm-naive_II"
"hsa04150","mTOR signaling pathway",4,3,"ATP6V1B2/LPIN2/ATP6V1E1/LPIN1","MoMac-II/MoMac-IV/T_activated"
"hsa04217","Necroptosis",4,3,"FTL/PYGL/GLUL/GLUD1","MoMac-II/Tcm-naive_II/Treg"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",4,2,"B3GAT3/CHST11/CHST12/CHST13","MoMac-II/T_activated"
"hsa00640","Propanoate metabolism",4,2,"LDHA/ACOX1/HADHA/ALDH6A1","CD16 mono/MoMac-II"
"hsa00350","Tyrosine metabolism",4,2,"COMT/GSTZ1/MIF/IL4I1","MoMac-II/MoMac-IV"
"hsa00760","Nicotinate and nicotinamide metabolism",4,2,"NADK/SIRT7/NADSYN1/NT5C","MoMac-II/T_activated"
"hsa00670","One carbon pool by folate",4,2,"GCSH/MAT2B/MTHFD2L/CTH","B/MoMac-II"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",4,2,"CBR1/AKR7A2/MGST1/GSTM4","MoMac-II/MoMac-IV"
"hsa05231","Choline metabolism in cancer",4,2,"DGKZ/CHKA/CHPT1/PLD1","MoMac-II/T_activated"
"hsa04148","Efferocytosis",4,2,"ALOX5/CH25H/PLA2G15/DNMT3A","CD16 mono/MoMac-II"
"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",4,1,"COQ4/COQ7/VKORC1/VKORC1L1","MoMac-II"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",4,1,"PIGS/DPM2/PIGA/PIGT","MoMac-II"
"hsa04666","Fc gamma R-mediated phagocytosis",3,5,"INPP5D/INPPL1/PLD1","CD8 Trm/DC3/MoMac-II/T_activated/Treg"
"hsa00592","alpha-Linolenic acid metabolism",3,4,"ACAA1/ACOX1/PLA2G12A","CD16 mono/IgG/MoMac-II/T_activated"
"hsa00250","Alanine, aspartate and glutamate metabolism",3,3,"GLUL/GLUD1/IL4I1","MoMac-II/Tcm-naive_II/Treg"
"hsa00260","Glycine, serine and threonine metabolism",3,3,"GCSH/GLYCTK/CTH","B/CD14 mono/MoMac-II"
"hsa00071","Fatty acid degradation",3,3,"ACAA1/ACOX1/HADHA","CD16 mono/MoMac-II/T_activated"
"hsa04928","Parathyroid hormone synthesis, secretion and action",3,3,"PDE4A/PDE4D/PLD1","CD14 mono/MoMac-II/T_activated"
"hsa04072","Phospholipase D signaling pathway",3,3,"DGKZ/PIK3CG/PLD1","IgG/MoMac-II/T_activated"
"hsa05207","Chemical carcinogenesis - receptor activation",3,3,"MGST1/GSTM4/EPHX2","MoMac-II/MoMac-IV/Tcm-naive_II"
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",3,2,"ST3GAL5/ST8SIA1/ST3GAL1","MoMac-II/Treg"
"hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",3,2,"NAGA/ST8SIA1/ST3GAL1","MoMac-II/Treg"
"hsa00511","Other glycan degradation",3,2,"FUCA1/NEU4/AGA","MoMac-II/MoMac-IV"
"hsa00515","Mannose type O-glycan biosynthesis",3,2,"B3GALNT2/POMGNT1/B3GAT2","DC3/Treg"
"hsa00790","Folate biosynthesis",3,2,"CBR1/PCBD2/QDPR","MoMac-II/T_activated"
"hsa00410","beta-Alanine metabolism",3,2,"ACOX1/HADHA/ALDH6A1","CD16 mono/MoMac-II"
"hsa00630","Glyoxylate and dicarboxylate metabolism",3,2,"GCSH/GLUL/GLYCTK","CD14 mono/MoMac-II"
"hsa00040","Pentose and glucuronate interconversions",3,2,"DCXR/RPE/SORD","MoMac-II/MoMac-III"
"hsa00330","Arginine and proline metabolism",3,2,"SAT2/SRM/PYCR2","IgG/MoMac-II"
"hsa05204","Chemical carcinogenesis - DNA adducts",3,2,"CBR1/MGST1/GSTM4","MoMac-II/MoMac-IV"
"hsa01524","Platinum drug resistance",3,2,"CYCS/MGST1/GSTM4","MoMac-II/MoMac-IV"
"hsa05145","Toxoplasmosis",3,2,"ALOX5/CYCS/PIK3CG","IgG/MoMac-II"
"hsa05132","Salmonella infection",3,2,"CYCS/GAPDH/PIK3CG","IgG/MoMac-II"
"hsa04151","PI3K-Akt signaling pathway",3,2,"PCK2/G6PC3/PIK3CG","IgG/MoMac-II"
"hsa00531","Glycosaminoglycan degradation",3,1,"GNS/IDS/GALNS","MoMac-II"
"hsa00900","Terpenoid backbone biosynthesis",3,1,"FDPS/FNTA/HMGCS1","MoMac-II"
"hsa04216","Ferroptosis",3,1,"SAT2/FTL/LPCAT3","MoMac-II"
"hsa00860","Porphyrin metabolism",3,1,"FXN/FTL/ALAD","MoMac-II"
"hsa05110","Vibrio cholerae infection",3,1,"ATP6V1B2/ATP6V1E1/ATP6V0B","MoMac-II"
"hsa04973","Carbohydrate digestion and absorption",3,1,"HK2/G6PC3/HK1","MoMac-II"
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",3,1,"ATP6V1B2/ATP6V1E1/ATP6V0B","MoMac-II"
"hsa04721","Synaptic vesicle cycle",3,1,"ATP6V1B2/ATP6V1E1/ATP6V0B","MoMac-II"
"hsa05323","Rheumatoid arthritis",3,1,"ATP6V1B2/ATP6V1E1/ATP6V0B","MoMac-II"
"hsa04931","Insulin resistance",3,1,"PCK2/PYGL/G6PC3","MoMac-II"
"hsa04152","AMPK signaling pathway",3,1,"SCD/PCK2/G6PC3","MoMac-II"
"hsa04145","Phagosome",3,1,"ATP6V1B2/ATP6V1E1/ATP6V0B","MoMac-II"
"hsa05131","Shigellosis",3,1,"HK2/CYCS/HK1","MoMac-II"
"hsa05165","Human papillomavirus infection",3,1,"ATP6V1B2/ATP6V1E1/ATP6V0B","MoMac-II"
"hsa04662","B cell receptor signaling pathway",2,4,"INPP5D/INPPL1","CD8 Trm/DC3/T_activated/Treg"
"hsa00910","Nitrogen metabolism",2,3,"GLUL/GLUD1","MoMac-II/Tcm-naive_II/Treg"
"hsa00220","Arginine biosynthesis",2,3,"GLUL/GLUD1","MoMac-II/Tcm-naive_II/Treg"
"hsa04964","Proximal tubule bicarbonate reclamation",2,3,"PCK2/GLUD1","MoMac-II/Tcm-naive_II/Treg"
"hsa00514","Other types of O-glycan biosynthesis",2,3,"GALNT2/GALNT1","MoMac-II/T_activated/Treg"
"hsa00740","Riboflavin metabolism",2,2,"RFK/ACP2","CD16 mono/MoMac-II"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",2,2,"FUT8/ST3GAL1","DC3/MoMac-II"
"hsa00120","Primary bile acid biosynthesis",2,2,"CH25H/SCP2","CD16 mono/MoMac-II"
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",2,2,"B3GAT3/EXTL3","CD16 mono/MoMac-II"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",2,2,"B3GNT5/ST8SIA1","MoMac-II/Treg"
"hsa00140","Steroid hormone biosynthesis",2,2,"COMT/HSD17B12","IgG/MoMac-II"
"hsa04664","Fc epsilon RI signaling pathway",2,2,"ALOX5/INPP5D","MoMac-II/T_activated"
"hsa04924","Renin secretion",2,2,"PDE1B/PDE3B","IM/T_activated"
"hsa00982","Drug metabolism - cytochrome P450",2,2,"MGST1/GSTM4","MoMac-II/MoMac-IV"
"hsa03018","RNA degradation",2,2,"ENO1/NUDT16","DC3/MoMac-II"
"hsa04371","Apelin signaling pathway",2,2,"PDE3B/PIK3CG","IgG/T_activated"
"hsa05418","Fluid shear stress and atherosclerosis",2,2,"MGST1/GSTM4","MoMac-II/MoMac-IV"
"hsa04022","cGMP-PKG signaling pathway",2,2,"PDE3B/PIK3CG","IgG/T_activated"
"hsa05225","Hepatocellular carcinoma",2,2,"MGST1/GSTM4","MoMac-II/MoMac-IV"
"hsa04141","Protein processing in endoplasmic reticulum",2,2,"STT3B/MOGS","MoMac-II/T_activated"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",2,2,"CYCS/PIK3CG","IgG/MoMac-II"
"hsa04014","Ras signaling pathway",2,2,"PLA2G12A/PLD1","IgG/MoMac-II"
"hsa04020","Calcium signaling pathway",2,2,"PDE1B/ITPKB","CD14 mono/IM"
"hsa00290","Valine, leucine and isoleucine biosynthesis",2,1,"BCAT2/BCAT1","MoMac-II"
"hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",2,1,"HK2/HK1","MoMac-II"
"hsa00360","Phenylalanine metabolism",2,1,"MIF/IL4I1","MoMac-II"
"hsa00100","Steroid biosynthesis",2,1,"LSS/SC5D","MoMac-II"
"hsa00785","Lipoic acid metabolism",2,1,"GCSH/PDHB","MoMac-II"
"hsa00770","Pantothenate and CoA biosynthesis",2,1,"BCAT2/BCAT1","MoMac-II"
"hsa00650","Butanoate metabolism",2,1,"HADHA/HMGCS1","MoMac-II"
"hsa04966","Collecting duct acid secretion",2,1,"ATP6V1B2/ATP6V1E1","MoMac-II"
"hsa00380","Tryptophan metabolism",2,1,"HADHA/IL4I1","MoMac-II"
"hsa04930","Type II diabetes mellitus",2,1,"HK2/HK1","MoMac-II"
"hsa04920","Adipocytokine signaling pathway",2,1,"PCK2/G6PC3","MoMac-II"
"hsa04724","Glutamatergic synapse",2,1,"GLUL/PLD1","MoMac-II"
"hsa04068","FoxO signaling pathway",2,1,"PCK2/G6PC3","MoMac-II"
"hsa05164","Influenza A",2,1,"FDPS/CYCS","MoMac-II"
"hsa05152","Tuberculosis",2,1,"CYCS/ATP6V0B","MoMac-II"
"hsa05202","Transcriptional misregulation in cancer",2,1,"FUT8/DOT1L","DC3"
"hsa05130","Pathogenic Escherichia coli infection",2,1,"CYCS/GAPDH","MoMac-II"
"hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,"IL4I1","MoMac-II"
"hsa00440","Phosphonate and phosphinate metabolism",1,1,"CHPT1","MoMac-II"
"hsa00750","Vitamin B6 metabolism",1,1,"PNPO","Treg"
"hsa04122","Sulfur relay system",1,1,"TST","MoMac-II"
"hsa00920","Sulfur metabolism",1,1,"TST","MoMac-II"
"hsa00450","Selenocompound metabolism",1,1,"CTH","B"
"hsa00340","Histidine metabolism",1,1,"HAL","CD14 mono"
"hsa04614","Renin-angiotensin system",1,1,"ANPEP","MoMac-IV"
"hsa00591","Linoleic acid metabolism",1,1,"PLA2G12A","IgG"
"hsa04215","Apoptosis - multiple species",1,1,"CYCS","MoMac-II"
"hsa05340","Primary immunodeficiency",1,1,"ADA","DC3"
"hsa04975","Fat digestion and absorption",1,1,"PLA2G12A","IgG"
"hsa04913","Ovarian steroidogenesis",1,1,"ALOX5","MoMac-II"
"hsa05134","Legionellosis",1,1,"CYCS","MoMac-II"
"hsa04923","Regulation of lipolysis in adipocytes",1,1,"PDE3B","T_activated"
"hsa04978","Mineral absorption",1,1,"FTL","MoMac-II"
"hsa00830","Retinol metabolism",1,1,"DHRS3","MoMac-II"
"hsa05416","Viral myocarditis",1,1,"CYCS","MoMac-II"
"hsa04115","p53 signaling pathway",1,1,"CYCS","MoMac-II"
"hsa04918","Thyroid hormone synthesis",1,1,"GPX1","MoMac-II"
"hsa05212","Pancreatic cancer",1,1,"PLD1","MoMac-II"
"hsa04742","Taste transduction",1,1,"PDE1B","IM"
"hsa05210","Colorectal cancer",1,1,"CYCS","MoMac-II"
"hsa04727","GABAergic synapse",1,1,"GLUL","MoMac-II"
"hsa04912","GnRH signaling pathway",1,1,"PLD1","MoMac-II"
"hsa05222","Small cell lung cancer",1,1,"CYCS","MoMac-II"
"hsa04640","Hematopoietic cell lineage",1,1,"ANPEP","MoMac-IV"
"hsa04972","Pancreatic secretion",1,1,"PLA2G12A","IgG"
"hsa04914","Progesterone-mediated oocyte maturation",1,1,"PDE3B","T_activated"
"hsa04726","Serotonergic synapse",1,1,"ALOX5","MoMac-II"
"hsa04725","Cholinergic synapse",1,1,"PIK3CG","IgG"
"hsa04611","Platelet activation",1,1,"PIK3CG","IgG"
"hsa04728","Dopaminergic synapse",1,1,"COMT","MoMac-II"
"hsa04270","Vascular smooth muscle contraction",1,1,"PLA2G12A","IgG"
"hsa04210","Apoptosis",1,1,"CYCS","MoMac-II"
"hsa05162","Measles",1,1,"CYCS","MoMac-II"
"hsa05017","Spinocerebellar ataxia",1,1,"CYCS","MoMac-II"
"hsa04261","Adrenergic signaling in cardiomyocytes",1,1,"PIK3CG","IgG"
"hsa04921","Oxytocin signaling pathway",1,1,"PIK3CG","IgG"
"hsa05160","Hepatitis C",1,1,"CYCS","MoMac-II"
"hsa05161","Hepatitis B",1,1,"CYCS","MoMac-II"
"hsa05168","Herpes simplex virus 1 infection",1,1,"CYCS","MoMac-II"
"hsa04062","Chemokine signaling pathway",1,1,"PIK3CG","IgG"
"hsa05169","Epstein-Barr virus infection",1,1,"CYCS","MoMac-II"
"hsa05170","Human immunodeficiency virus 1 infection",1,1,"CYCS","MoMac-II"
"hsa05417","Lipid and atherosclerosis",1,1,"CYCS","MoMac-II"
"hsa05166","Human T-cell leukemia virus 1 infection",1,1,"FDPS","MoMac-II"
"hsa05163","Human cytomegalovirus infection",1,1,"CYCS","MoMac-II"
"hsa04820","Cytoskeleton in muscle cells",1,1,"ENO1","DC3"
"hsa04144","Endocytosis",1,1,"PLD1","MoMac-II"
"hsa05206","MicroRNAs in cancer",1,1,"DNMT3A","MoMac-II"
"hsa04740","Olfactory transduction",1,1,"PDE1B","IM"
