"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa04723","Retrograde endocannabinoid signaling",9,"NDUFA12/NDUFA1/NDUFA3/NDUFB7/NDUFS5/NDUFA13/NDUFB10/NDUFB3/NDUFS7"
"hsa00270","Cysteine and methionine metabolism",8,"LDHA/BCAT2/BCAT1/MAT2B/TST/DNMT3A/SRM/IL4I1"
"hsa01212","Fatty acid metabolism",8,"SCD/ELOVL5/TECR/ELOVL1/SCP2/ACOX1/HADHA/FADS1"
"hsa00010","Glycolysis / Gluconeogenesis",8,"LDHA/HK2/GPI/PCK2/GAPDH/G6PC3/PDHB/HK1"
"hsa00230","Purine metabolism",8,"NME4/NUDT9/IMPDH2/NUDT2/HDDC3/PDE7A/ADPRM/NUDT16"
"hsa04142","Lysosome",8,"GNS/FUCA1/ATP6V0B/PLA2G15/IDS/AGA/NAGA/GALNS"
"hsa01040","Biosynthesis of unsaturated fatty acids",7,"SCD/ELOVL5/TECR/ELOVL1/SCP2/ACOX1/FADS1"
"hsa00051","Fructose and mannose metabolism",7,"HK2/GMPPA/GMDS/FPGT/HK1/PMM1/ENOSF1"
"hsa00520","Amino sugar and nucleotide sugar metabolism",7,"HK2/GPI/GMPPA/GALE/FPGT/HK1/PMM1"
"hsa00280","Valine, leucine and isoleucine degradation",7,"BCAT2/BCAT1/HADHA/HMGCS1/IL4I1/MCCC2/ALDH6A1"
"hsa00020","Citrate cycle (TCA cycle)",6,"PCK2/IDH3B/IDH2/PDHB/PC/IDH3G"
"hsa00030","Pentose phosphate pathway",6,"RPE/GPI/RPIA/DERA/PGLS/RBKS"
"hsa01210","2-Oxocarboxylic acid metabolism",6,"BCAT2/BCAT1/IDH3B/IDH2/PDHB/IDH3G"
"hsa00500","Starch and sucrose metabolism",6,"HK2/GPI/PYGL/G6PC3/HK1/GYG1"
"hsa00620","Pyruvate metabolism",6,"LDHA/PCK2/HAGH/PDHB/PC/ACYP1"
"hsa00510","N-Glycan biosynthesis",6,"DPM2/MGAT4A/ALG14/DPM3/MGAT2/MOGS"
"hsa03320","PPAR signaling pathway",6,"SCD/PCK2/SCP2/ACOX1/GK/HMGCS1"
"hsa05230","Central carbon metabolism in cancer",5,"LDHA/HK2/IDH2/PDHB/HK1"
"hsa01232","Nucleotide metabolism",5,"NME4/DCTPP1/IMPDH2/NT5C3B/NUDT16"
"hsa04922","Glucagon signaling pathway",5,"LDHA/PCK2/PYGL/G6PC3/PDHB"
"hsa04066","HIF-1 signaling pathway",5,"LDHA/HK2/GAPDH/PDHB/HK1"
"hsa04910","Insulin signaling pathway",5,"HK2/PCK2/PYGL/G6PC3/HK1"
"hsa00130","Ubiquinone and other terpenoid-quinone biosynthesis",4,"COQ4/COQ7/VKORC1/VKORC1L1"
"hsa00541","Biosynthesis of various nucleotide sugars",4,"GMPPA/GMDS/NPL/NANS"
"hsa00062","Fatty acid elongation",4,"ELOVL5/TECR/ELOVL1/HADHA"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",4,"PIGS/DPM2/PIGA/PIGT"
"hsa00052","Galactose metabolism",4,"HK2/G6PC3/GALE/HK1"
"hsa00640","Propanoate metabolism",4,"LDHA/ACOX1/HADHA/ALDH6A1"
"hsa00512","Mucin type O-glycan biosynthesis",4,"GALNT2/GALNT1/B4GALT5/ST3GAL1"
"hsa00565","Ether lipid metabolism",4,"PAFAH1B1/PAFAH1B2/CHPT1/PLD1"
"hsa00600","Sphingolipid metabolism",4,"B4GALT5/CERS6/SGPL1/SGPP1"
"hsa00240","Pyrimidine metabolism",4,"NME4/DCTPP1/NUDT2/NT5C3B"
"hsa00480","Glutathione metabolism",4,"IDH2/GPX1/MGST1/SRM"
"hsa04071","Sphingolipid signaling pathway",4,"CERS6/SGPL1/SGPP1/PLD1"
"hsa00531","Glycosaminoglycan degradation",3,"GNS/IDS/GALNS"
"hsa00900","Terpenoid backbone biosynthesis",3,"FDPS/FNTA/HMGCS1"
"hsa00410","beta-Alanine metabolism",3,"ACOX1/HADHA/ALDH6A1"
"hsa00350","Tyrosine metabolism",3,"COMT/MIF/IL4I1"
"hsa00760","Nicotinate and nicotinamide metabolism",3,"NADK/SIRT7/NADSYN1"
"hsa00670","One carbon pool by folate",3,"GCSH/MAT2B/MTHFD2L"
"hsa04216","Ferroptosis",3,"SAT2/FTL/LPCAT3"
"hsa00513","Various types of N-glycan biosynthesis",3,"MGAT4A/ALG14/MGAT2"
"hsa00860","Porphyrin metabolism",3,"FXN/FTL/ALAD"
"hsa05110","Vibrio cholerae infection",3,"ATP6V1B2/ATP6V1E1/ATP6V0B"
"hsa04973","Carbohydrate digestion and absorption",3,"HK2/G6PC3/HK1"
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",3,"ATP6V1B2/ATP6V1E1/ATP6V0B"
"hsa00562","Inositol phosphate metabolism",3,"MTMR6/PI4KA/ALDH6A1"
"hsa00980","Metabolism of xenobiotics by cytochrome P450",3,"CBR1/AKR7A2/MGST1"
"hsa04721","Synaptic vesicle cycle",3,"ATP6V1B2/ATP6V1E1/ATP6V0B"
"hsa00983","Drug metabolism - other enzymes",3,"NME4/MGST1/IMPDH2"
"hsa04146","Peroxisome",3,"IDH2/SCP2/ACOX1"
"hsa05323","Rheumatoid arthritis",3,"ATP6V1B2/ATP6V1E1/ATP6V0B"
"hsa05231","Choline metabolism in cancer",3,"CHKA/CHPT1/PLD1"
"hsa04931","Insulin resistance",3,"PCK2/PYGL/G6PC3"
"hsa04152","AMPK signaling pathway",3,"SCD/PCK2/G6PC3"
"hsa04148","Efferocytosis",3,"ALOX5/PLA2G15/DNMT3A"
"hsa04145","Phagosome",3,"ATP6V1B2/ATP6V1E1/ATP6V0B"
"hsa04217","Necroptosis",3,"FTL/PYGL/GLUL"
"hsa05131","Shigellosis",3,"HK2/CYCS/HK1"
"hsa05165","Human papillomavirus infection",3,"ATP6V1B2/ATP6V1E1/ATP6V0B"
"hsa00290","Valine, leucine and isoleucine biosynthesis",2,"BCAT2/BCAT1"
"hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",2,"HK2/HK1"
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",2,"ST3GAL5/ST3GAL1"
"hsa00360","Phenylalanine metabolism",2,"MIF/IL4I1"
"hsa00603","Glycosphingolipid biosynthesis - globo and isoglobo series",2,"NAGA/ST3GAL1"
"hsa00511","Other glycan degradation",2,"FUCA1/AGA"
"hsa00100","Steroid biosynthesis",2,"LSS/SC5D"
"hsa00785","Lipoic acid metabolism",2,"GCSH/PDHB"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",2,"B3GAT3/CHST13"
"hsa00770","Pantothenate and CoA biosynthesis",2,"BCAT2/BCAT1"
"hsa00650","Butanoate metabolism",2,"HADHA/HMGCS1"
"hsa00790","Folate biosynthesis",2,"CBR1/PCBD2"
"hsa04966","Collecting duct acid secretion",2,"ATP6V1B2/ATP6V1E1"
"hsa00630","Glyoxylate and dicarboxylate metabolism",2,"GCSH/GLUL"
"hsa00040","Pentose and glucuronate interconversions",2,"DCXR/RPE"
"hsa00250","Alanine, aspartate and glutamate metabolism",2,"GLUL/IL4I1"
"hsa00380","Tryptophan metabolism",2,"HADHA/IL4I1"
"hsa00071","Fatty acid degradation",2,"ACOX1/HADHA"
"hsa00514","Other types of O-glycan biosynthesis",2,"GALNT2/GALNT1"
"hsa04930","Type II diabetes mellitus",2,"HK2/HK1"
"hsa00330","Arginine and proline metabolism",2,"SAT2/SRM"
"hsa00310","Lysine degradation",2,"KMT2E/HADHA"
"hsa00590","Arachidonic acid metabolism",2,"ALOX5/CBR1"
"hsa00561","Glycerolipid metabolism",2,"GK/PLPP5"
"hsa04920","Adipocytokine signaling pathway",2,"PCK2/G6PC3"
"hsa05204","Chemical carcinogenesis - DNA adducts",2,"CBR1/MGST1"
"hsa01524","Platinum drug resistance",2,"CYCS/MGST1"
"hsa04070","Phosphatidylinositol signaling system",2,"MTMR6/PI4KA"
"hsa05145","Toxoplasmosis",2,"ALOX5/CYCS"
"hsa04724","Glutamatergic synapse",2,"GLUL/PLD1"
"hsa04068","FoxO signaling pathway",2,"PCK2/G6PC3"
"hsa04936","Alcoholic liver disease",2,"SCD/ACOX1"
"hsa04150","mTOR signaling pathway",2,"ATP6V1B2/ATP6V1E1"
"hsa05164","Influenza A",2,"FDPS/CYCS"
"hsa05152","Tuberculosis",2,"CYCS/ATP6V0B"
"hsa05130","Pathogenic Escherichia coli infection",2,"CYCS/GAPDH"
"hsa04024","cAMP signaling pathway",2,"ACOX1/PLD1"
"hsa05132","Salmonella infection",2,"CYCS/GAPDH"
"hsa04151","PI3K-Akt signaling pathway",2,"PCK2/G6PC3"
"hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",1,"IL4I1"
"hsa00440","Phosphonate and phosphinate metabolism",1,"CHPT1"
"hsa00740","Riboflavin metabolism",1,"RFK"
"hsa04122","Sulfur relay system",1,"TST"
"hsa00920","Sulfur metabolism",1,"TST"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,"ST3GAL1"
"hsa00120","Primary bile acid biosynthesis",1,"SCP2"
"hsa00910","Nitrogen metabolism",1,"GLUL"
"hsa00220","Arginine biosynthesis",1,"GLUL"
"hsa04964","Proximal tubule bicarbonate reclamation",1,"PCK2"
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",1,"B3GAT3"
"hsa00592","alpha-Linolenic acid metabolism",1,"ACOX1"
"hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series",1,"B3GNT5"
"hsa04215","Apoptosis - multiple species",1,"CYCS"
"hsa00260","Glycine, serine and threonine metabolism",1,"GCSH"
"hsa04913","Ovarian steroidogenesis",1,"ALOX5"
"hsa05134","Legionellosis",1,"CYCS"
"hsa04978","Mineral absorption",1,"FTL"
"hsa00140","Steroid hormone biosynthesis",1,"COMT"
"hsa00830","Retinol metabolism",1,"DHRS3"
"hsa04664","Fc epsilon RI signaling pathway",1,"ALOX5"
"hsa05416","Viral myocarditis",1,"CYCS"
"hsa00982","Drug metabolism - cytochrome P450",1,"MGST1"
"hsa04115","p53 signaling pathway",1,"CYCS"
"hsa04918","Thyroid hormone synthesis",1,"GPX1"
"hsa05212","Pancreatic cancer",1,"PLD1"
"hsa03018","RNA degradation",1,"NUDT16"
"hsa05210","Colorectal cancer",1,"CYCS"
"hsa04727","GABAergic synapse",1,"GLUL"
"hsa05032","Morphine addiction",1,"PDE7A"
"hsa04912","GnRH signaling pathway",1,"PLD1"
"hsa05222","Small cell lung cancer",1,"CYCS"
"hsa04666","Fc gamma R-mediated phagocytosis",1,"PLD1"
"hsa04726","Serotonergic synapse",1,"ALOX5"
"hsa04928","Parathyroid hormone synthesis, secretion and action",1,"PLD1"
"hsa04728","Dopaminergic synapse",1,"COMT"
"hsa04210","Apoptosis",1,"CYCS"
"hsa05162","Measles",1,"CYCS"
"hsa05418","Fluid shear stress and atherosclerosis",1,"MGST1"
"hsa05017","Spinocerebellar ataxia",1,"CYCS"
"hsa04072","Phospholipase D signaling pathway",1,"PLD1"
"hsa05160","Hepatitis C",1,"CYCS"
"hsa05161","Hepatitis B",1,"CYCS"
"hsa05225","Hepatocellular carcinoma",1,"MGST1"
"hsa04141","Protein processing in endoplasmic reticulum",1,"MOGS"
"hsa05168","Herpes simplex virus 1 infection",1,"CYCS"
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",1,"CYCS"
"hsa05169","Epstein-Barr virus infection",1,"CYCS"
"hsa05170","Human immunodeficiency virus 1 infection",1,"CYCS"
"hsa05207","Chemical carcinogenesis - receptor activation",1,"MGST1"
"hsa05417","Lipid and atherosclerosis",1,"CYCS"
"hsa05166","Human T-cell leukemia virus 1 infection",1,"FDPS"
"hsa05163","Human cytomegalovirus infection",1,"CYCS"
"hsa04014","Ras signaling pathway",1,"PLD1"
"hsa04144","Endocytosis",1,"PLD1"
"hsa05206","MicroRNAs in cancer",1,"DNMT3A"
