"PathwayID","PathwayName","GeneCountFromInput","NumberOfContributingCellTypes","InputGeneSymbolsInPathway","ContributingCellTypes"
"hsa00250","Alanine, aspartate and glutamate metabolism",2,2,"GLUD1/ADSL","IgG/Treg"
"hsa00760","Nicotinate and nicotinamide metabolism",2,2,"SIRT2/NMRK1","DC3/T_activated"
"hsa00260","Glycine, serine and threonine metabolism",2,2,"SARDH/PGAM1","DC3/T_activated"
"hsa00860","Porphyrin metabolism",2,2,"FTH1/GUSB","DC3/T_activated"
"hsa00514","Other types of O-glycan biosynthesis",2,2,"B4GALT3/GALNT2","IgG/T_activated"
"hsa00270","Cysteine and methionine metabolism",2,2,"ENOPH1/MPST","AM/T_activated"
"hsa00590","Arachidonic acid metabolism",2,2,"ALOX5/LTC4S","IgG/MoMac-II"
"hsa00650","Butanoate metabolism",2,1,"HMGCS1/ACADS","MoMac-II"
"hsa00380","Tryptophan metabolism",2,1,"AFMID/GCDH","Treg"
"hsa00620","Pyruvate metabolism",2,1,"PKM/PDHB","IgG"
"hsa00524","Neomycin, kanamycin and gentamicin biosynthesis",1,1,"HK2","CD16 mono"
"hsa00740","Riboflavin metabolism",1,1,"ACP1","IgG"
"hsa00920","Sulfur metabolism",1,1,"MPST","AM"
"hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate",1,1,"B4GALT3","IgG"
"hsa00604","Glycosphingolipid biosynthesis - ganglio series",1,1,"ST6GALNAC4","IgG"
"hsa00785","Lipoic acid metabolism",1,1,"PDHB","IgG"
"hsa00770","Pantothenate and CoA biosynthesis",1,1,"PPCDC","IgG"
"hsa00340","Histidine metabolism",1,1,"CNDP2","T_activated"
"hsa00220","Arginine biosynthesis",1,1,"GLUD1","Treg"
"hsa00592","alpha-Linolenic acid metabolism",1,1,"ACAA1","T_activated"
"hsa01040","Biosynthesis of unsaturated fatty acids",1,1,"ACAA1","T_activated"
"hsa00790","Folate biosynthesis",1,1,"SPR","MoMac-II"
"hsa00053","Ascorbate and aldarate metabolism",1,1,"GUSB","T_activated"
"hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",1,1,"PIGX","Treg"
"hsa00040","Pentose and glucuronate interconversions",1,1,"GUSB","T_activated"
"hsa00350","Tyrosine metabolism",1,1,"GSTZ1","CD16 mono"
"hsa00670","One carbon pool by folate",1,1,"SARDH","T_activated"
"hsa00500","Starch and sucrose metabolism",1,1,"HK2","CD16 mono"
"hsa00330","Arginine and proline metabolism",1,1,"CNDP2","T_activated"
"hsa00565","Ether lipid metabolism",1,1,"PLD3","IgG"
"hsa00600","Sphingolipid metabolism",1,1,"ARSA","T_activated"
"hsa00830","Retinol metabolism",1,1,"DHRS4L2","IgG"
